,temperature,humidity,precipitation,wind_speed,wind_direction,pm10,pm25
temperature,1.0,-0.5822745952206921,-0.08401332947026438,0.03582340096536673,-0.18536704989986247,0.5903281257312233,0.3151711007145442
humidity,-0.5822745952206921,1.0,0.14999805964614804,-0.24674840016042432,0.12377953220554017,-0.2009910118760848,-0.056527713206327636
precipitation,-0.08401332947026438,0.14999805964614804,1.0,0.09855255238009751,0.05878952108850797,-0.044374349991260505,-0.03639052417891862
wind_speed,0.03582340096536673,-0.24674840016042432,0.09855255238009751,1.0,-0.1890595475017776,-0.14709035181114521,-0.1991816283384151
wind_direction,-0.18536704989986247,0.12377953220554017,0.05878952108850797,-0.1890595475017776,1.0,-0.07542064494188752,-0.004151237441761223
pm10,0.5903281257312233,-0.2009910118760848,-0.044374349991260505,-0.14709035181114521,-0.07542064494188752,1.0,0.809514614055958
pm25,0.3151711007145442,-0.056527713206327636,-0.03639052417891862,-0.1991816283384151,-0.004151237441761223,0.809514614055958,1.0
